%time,field.header.seq,field.header.stamp,field.header.frame_id,field.distanceA,field.distanceB,field.distanceC,field.distanceD,field.distanceE,field.distanceF,field.distanceG,field.distanceH
1710773622751989062,26153,1710773622751454945,,0.458999991417,0.709999978542,0.528999984264,0.28900000453,0.138999998569,0.704999983311,0.0320000015199,0.0
1710773622803000543,26154,1710773622801907101,,0.458999991417,0.694999992847,0.526000022888,0.28900000453,0.140000000596,0.705999970436,0.0320000015199,0.0
1710773622852551445,26155,1710773622851620972,,0.458000004292,0.675999999046,0.524999976158,0.28900000453,0.137999996543,0.708999991417,0.0320000015199,0.0
1710773622903646989,26156,1710773622901655209,,0.405999988317,0.680000007153,0.451999992132,0.286000013351,0.136000007391,0.711000025272,0.0320000015199,0.0
1710773622952767680,26157,1710773622951821061,,0.458999991417,0.677999973297,0.453999996185,0.286000013351,0.136000007391,0.711000025272,0.0320000015199,0.0
1710773623001719047,26158,1710773623001408421,,0.460000008345,0.691999971867,0.456999987364,0.24699999392,0.136999994516,0.705999970436,0.0320000015199,0.0
1710773623052709541,26159,1710773623051706047,,0.460000008345,0.689999997616,0.52999997139,0.287000000477,0.137999996543,0.707000017166,0.0320000015199,0.0
1710773623101838984,26160,1710773623101464764,,0.458999991417,0.708000004292,0.52999997139,0.287000000477,0.137999996543,0.707000017166,0.0320000015199,0.0
1710773623152617341,26161,1710773623151709004,,0.509000003338,0.714999973774,0.456000000238,0.326000005007,0.136000007391,0.708999991417,0.0320000015199,0.0
1710773623203087312,26162,1710773623201704233,,0.559000015259,0.716000020504,0.379000008106,0.375,0.136999994516,0.726999998093,0.0320000015199,0.0
1710773623252222016,26163,1710773623251545294,,0.558000028133,0.698000013828,0.377000004053,0.338999986649,0.138999998569,0.731999993324,0.0320000015199,0.0
1710773623303513188,26164,1710773623302383339,,0.555999994278,0.690999984741,0.451999992132,0.338999986649,0.138999998569,0.73299998045,0.0320000015199,0.0
1710773623352856278,26165,1710773623351759606,,0.507000029087,0.674000024796,0.527000010014,0.375999987125,0.138999998569,0.717999994755,0.0320000015199,0.0
1710773623402912965,26166,1710773623401786085,,0.505999982357,0.677999973297,0.600000023842,0.289999991655,0.138999998569,0.712999999523,0.0320000015199,0.0
1710773623452644755,26167,1710773623451784022,,0.509999990463,0.676999986172,0.528999984264,0.289999991655,0.138999998569,0.711000025272,0.0320000015199,0.0
1710773623501936439,26168,1710773623501411384,,0.558000028133,0.676999986172,0.528999984264,0.25,0.140000000596,0.709999978542,0.0320000015199,0.0
1710773623553033599,26169,1710773623552325367,,0.505999982357,0.690999984741,0.456000000238,0.25,0.141000002623,0.709999978542,0.0320000015199,0.0
1710773623601819395,26170,1710773623601460488,,0.555000007153,0.707000017166,0.528999984264,0.286000013351,0.138999998569,0.708999991417,0.0320000015199,0.0
1710773623652428325,26171,1710773623651839260,,0.555000007153,0.709999978542,0.52999997139,0.28900000453,0.136000007391,0.709999978542,0.0320000015199,0.0
1710773623701666675,26172,1710773623701390372,,0.556999981403,0.694999992847,0.60799998045,0.28900000453,0.136999994516,0.712000012398,0.0320000015199,0.0
1710773623752194354,26173,1710773623751558934,,0.556999981403,0.695999979973,0.60799998045,0.252999991179,0.138999998569,0.709999978542,0.0320000015199,0.0
1710773623803143337,26174,1710773623802167759,,0.556999981403,0.676999986172,0.535000026226,0.252999991179,0.142000004649,0.711000025272,0.0320000015199,0.0
1710773623852604761,26175,1710773623851613090,,0.559000015259,0.675999999046,0.535000026226,0.337000012398,0.141000002623,0.723999977112,0.0320000015199,0.0
1710773623903397389,26176,1710773623901969362,,0.559000015259,0.675999999046,0.52999997139,0.333000004292,0.140000000596,0.726999998093,0.0320000015199,0.0
1710773623952217925,26177,1710773623951543859,,0.559000015259,0.675000011921,0.601999998093,0.370000004768,0.140000000596,0.727999985218,0.0320000015199,0.0
1710773624002841021,26178,1710773624001804454,,0.60799998045,0.675000011921,0.52999997139,0.248999997973,0.136999994516,0.730000019073,0.0320000015199,0.0
1710773624053419900,26179,1710773624051985623,,0.559000015259,0.694000005722,0.53100001812,0.250999987125,0.136000007391,0.731000006199,0.0320000015199,0.0
1710773624102142417,26180,1710773624101565591,,0.559000015259,0.697000026703,0.45300000906,0.25,0.135000005364,0.728999972343,0.0320000015199,0.0
1710773624151937542,26181,1710773624151511759,,0.559000015259,0.694999992847,0.449999988079,0.287000000477,0.136999994516,0.712999999523,0.0320000015199,0.0
1710773624201889804,26182,1710773624201448500,,0.60900002718,0.676999986172,0.375999987125,0.256000012159,0.136999994516,0.704999983311,0.0320000015199,0.0
1710773624252023317,26183,1710773624251463054,,0.610000014305,0.675999999046,0.458000004292,0.217999994755,0.136000007391,0.699999988079,0.0320000015199,0.0
1710773624302041099,26184,1710773624301510993,,0.561999976635,0.677999973297,0.616999983788,0.307999998331,0.135000005364,0.703999996185,0.0320000015199,0.0
1710773624351850236,26185,1710773624351464869,,0.561999976635,0.679000020027,0.617999970913,0.303999990225,0.135000005364,0.712000012398,0.0320000015199,0.0
1710773624401901456,26186,1710773624401510829,,0.561999976635,0.704999983311,0.611999988556,0.338999986649,0.135000005364,0.722000002861,0.0320000015199,0.0
1710773624451945958,26187,1710773624451469550,,0.561999976635,0.707000017166,0.537000000477,0.21400000155,0.135000005364,0.717999994755,0.0320000015199,0.0
1710773624502029575,26188,1710773624501538687,,0.611999988556,0.704999983311,0.52999997139,0.212999999523,0.134000003338,0.712000012398,0.0320000015199,0.0
